Date	series	OPEN	HIGH	LOW	PREV. CLOSE	ltp	close	vwap	52W H	52W L	VOLUME	VALUE	No of trades									
06-05-2024	EQ	"4,620.00"	"4,739.90"	"4,576.00"	"4,612.35"	"4,589.85"	"4,600.60"	"4,616.79"	"4,890.00"	"3,352.00"	"6,43,041"	"2,96,87,84,118.95"	"56,698"									
03-05-2024	EQ	"4,626.95"	"4,627.00"	"4,545.05"	"4,605.05"	"4,618.45"	"4,612.35"	"4,591.60"	"4,890.00"	"3,352.00"	"4,36,785"	"2,00,55,41,781.45"	"30,468"									
02-05-2024	EQ	"4,609.95"	"4,642.45"	"4,578.00"	"4,603.80"	"4,605.00"	"4,605.05"	"4,602.63"	"4,890.00"	"3,352.00"	"2,56,067"	"1,17,85,80,756.20"	"34,407"									
30-04-2024	EQ	"4,455.15"	"4,650.00"	"4,455.15"	"4,483.80"	"4,605.00"	"4,603.80"	"4,609.25"	"4,890.00"	"3,352.00"	"6,37,696"	"2,93,93,03,077.00"	"60,341"									
29-04-2024	EQ	"4,560.50"	"4,562.45"	"4,450.00"	"4,553.15"	"4,483.15"	"4,483.80"	"4,487.25"	"4,890.00"	"3,352.00"	"3,85,596"	"1,73,02,63,950.55"	"47,447"									
26-04-2024	EQ	"4,657.05"	"4,719.95"	"4,531.50"	"4,657.10"	"4,562.00"	"4,553.15"	"4,618.74"	"4,890.00"	"3,352.00"	"2,54,510"	"1,17,55,14,406.05"	"33,716"									
25-04-2024	EQ	"4,801.00"	"4,817.65"	"4,615.15"	"4,797.55"	"4,655.00"	"4,657.10"	"4,715.72"	"4,890.00"	"3,352.00"	"4,62,020"	"2,17,87,57,663.95"	"43,230"									
24-04-2024	EQ	"4,820.00"	"4,835.70"	"4,778.00"	"4,800.55"	"4,789.95"	"4,797.55"	"4,803.54"	"4,890.00"	"3,352.00"	"1,99,877"	"96,01,16,585.15"	"21,009"									
23-04-2024	EQ	"4,804.50"	"4,890.00"	"4,773.00"	"4,758.00"	"4,785.00"	"4,800.55"	"4,811.87"	"4,890.00"	"3,352.00"	"4,58,148"	"2,20,45,47,694.80"	"57,078"									
22-04-2024	EQ	"4,743.00"	"4,815.95"	"4,692.05"	"4,696.00"	"4,763.00"	"4,758.00"	"4,735.14"	"4,836.70"	"3,352.00"	"2,57,706"	"1,22,02,73,751.75"	"35,874"									
19-04-2024	EQ	"4,766.95"	"4,836.70"	"4,651.10"	"4,627.10"	"4,711.00"	"4,696.00"	"4,721.01"	"4,836.70"	"3,352.00"	"7,78,084"	"3,67,33,42,149.95"	"77,642"									
18-04-2024	EQ	"4,644.30"	"4,694.30"	"4,605.00"	"4,644.30"	"4,637.95"	"4,627.10"	"4,630.41"	"4,831.85"	"3,352.00"	"4,17,772"	"1,93,44,54,965.60"	"35,489"									
16-04-2024	EQ	"4,650.00"	"4,689.30"	"4,611.35"	"4,686.80"	"4,630.00"	"4,644.30"	"4,650.21"	"4,831.85"	"3,352.00"	"2,45,231"	"1,14,03,76,252.05"	"29,695"									
15-04-2024	EQ	"4,680.00"	"4,736.55"	"4,620.60"	"4,765.05"	"4,687.00"	"4,686.80"	"4,680.43"	"4,831.85"	"3,352.00"	"3,58,707"	"1,67,89,01,939.60"	"44,259"									
12-04-2024	EQ	"4,753.90"	"4,806.75"	"4,725.00"	"4,754.00"	"4,765.85"	"4,765.05"	"4,767.17"	"4,831.85"	"3,352.00"	"6,76,863"	"3,22,67,20,889.45"	"50,060"									
10-04-2024	EQ	"4,736.60"	"4,831.85"	"4,711.00"	"4,716.15"	"4,737.35"	"4,754.00"	"4,788.34"	"4,831.85"	"3,352.00"	"7,28,446"	"3,48,80,46,554.60"	"65,013"									
09-04-2024	EQ	"4,671.95"	"4,747.80"	"4,622.00"	"4,672.80"	"4,715.00"	"4,716.15"	"4,693.56"	"4,748.00"	"3,352.00"	"2,85,672"	"1,34,08,19,639.60"	"34,162"									
08-04-2024	EQ	"4,648.15"	"4,748.00"	"4,640.00"	"4,619.25"	"4,660.00"	"4,672.80"	"4,699.65"	"4,748.00"	"3,352.00"	"4,61,322"	"2,16,80,53,968.60"	"50,443"									
05-04-2024	EQ	"4,645.00"	"4,685.00"	"4,557.00"	"4,645.05"	"4,639.85"	"4,619.25"	"4,615.20"	"4,715.00"	"3,352.00"	"4,18,022"	"1,92,92,53,380.95"	"59,293"									
04-04-2024	EQ	"4,562.00"	"4,715.00"	"4,540.00"	"4,460.90"	"4,639.80"	"4,645.05"	"4,640.74"	"4,715.00"	"3,352.00"	"15,64,457"	"7,26,02,35,478.55"	"1,43,517"									
03-04-2024	EQ	"4,455.00"	"4,494.45"	"4,415.00"	"4,411.85"	"4,465.00"	"4,460.90"	"4,457.24"	"4,592.00"	"3,352.00"	"2,57,333"	"1,14,69,95,749.90"	"35,963"									
02-04-2024	EQ	"4,503.00"	"4,563.00"	"4,400.05"	"4,483.30"	"4,407.00"	"4,411.85"	"4,471.01"	"4,592.00"	"3,352.00"	"4,42,907"	"1,98,02,39,672.20"	"49,326"									
01-04-2024	EQ	"4,570.00"	"4,592.00"	"4,456.30"	"4,525.60"	"4,484.00"	"4,483.30"	"4,504.59"	"4,592.00"	"3,352.00"	"4,10,983"	"1,85,13,09,836.30"	"46,285"									
28-03-2024	EQ	"4,424.95"	"4,560.00"	"4,397.05"	"4,420.55"	"4,529.90"	"4,525.60"	"4,490.05"	"4,560.00"	"3,300.00"	"8,92,567"	"4,00,76,74,168.60"	"1,10,180"									
27-03-2024	EQ	"4,480.50"	"4,533.00"	"4,387.05"	"4,486.20"	"4,417.90"	"4,420.55"	"4,465.38"	"4,533.00"	"3,300.00"	"8,14,043"	"3,63,50,12,739.25"	"99,248"									
26-03-2024	EQ	"4,315.75"	"4,509.45"	"4,297.25"	"4,297.60"	"4,450.00"	"4,486.20"	"4,456.46"	"4,509.45"	"3,300.00"	"18,38,678"	"8,19,40,04,087.00"	"1,59,311"									
22-03-2024	EQ	"4,159.80"	"4,330.50"	"4,151.15"	"4,163.10"	"4,292.00"	"4,297.60"	"4,248.00"	"4,330.50"	"3,295.00"	"9,21,652"	"3,91,51,76,732.70"	"79,173"									
21-03-2024	EQ	"4,117.00"	"4,238.00"	"4,091.50"	"4,056.35"	"4,158.00"	"4,163.10"	"4,171.84"	"4,238.00"	"3,295.00"	"11,30,832"	"4,71,76,51,353.95"	"1,22,479"									
20-03-2024	EQ	"4,015.00"	"4,068.00"	"4,009.25"	"4,014.10"	"4,049.95"	"4,056.35"	"4,046.78"	"4,206.00"	"3,295.00"	"3,46,426"	"1,40,19,09,028.75"	"45,163"									
19-03-2024	EQ	"4,008.00"	"4,046.05"	"3,983.05"	"4,010.55"	"4,006.00"	"4,014.10"	"4,023.11"	"4,206.00"	"3,295.00"	"4,51,330"	"1,81,57,49,844.05"	"39,740"									
18-03-2024	EQ	"3,932.10"	"4,019.00"	"3,918.70"	"3,932.10"	"4,000.00"	"4,010.55"	"3,990.28"	"4,206.00"	"3,295.00"	"2,30,448"	"91,95,51,488.30"	"27,791"									
15-03-2024	EQ	"4,019.45"	"4,035.00"	"3,904.00"	"4,019.25"	"3,912.00"	"3,932.10"	"3,948.09"	"4,206.00"	"3,292.00"	"3,48,203"	"1,37,47,35,732.95"	"47,833"									
14-03-2024	EQ	"3,966.95"	"4,040.00"	"3,890.00"	"3,967.80"	"4,032.00"	"4,019.25"	"3,962.14"	"4,206.00"	"3,292.00"	"3,55,226"	"1,40,74,56,574.05"	"42,904"									
